OriginalAddress,ChosenAddress,Url,Owner,AveragePricingInfo,ActiveListingsUrl,PastSalesUrl,PastRentalUrl,UnitsAvaliableRightNow
221 E 60TH ST Manhattan,,http://streeteasy.com/building/221-east-60-street-manhattan,"Owned by: 221 EAST 60TH STREET,","4 previous rentals ($4,148 avg price)",,/nyc/property_activity/past_transactions_component/8733453?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/8733453?hide_header=true&show_rentals=true,0
227 E 60TH ST Manhattan,,http://streeteasy.com/building/227-east-60-street-manhattan,Owned by: V LA MANNA,"Rentals Listings 2 active rentals ($2,850 avg price)",,/nyc/property_activity/past_transactions_component/855362?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/855362?hide_header=true&show_rentals=true,3
235 E 60TH ST Manhattan,,http://streeteasy.com/building/235-east-60-street-manhattan,"Owned by: ELSA ZEGELSTEIN, TRUS","12 previous rentals ($66 per ft² avg, $2,089 avg price)",,/nyc/property_activity/past_transactions_component/855366?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/855366?hide_header=true&show_rentals=true,0
237 E 60TH ST Manhattan,,http://streeteasy.com/building/237-east-60-street-manhattan,Owned by: THE ELSA ZEGELSTEIN R,"Rentals Listings 1 active rental ($1,995 avg price)",,/nyc/property_activity/past_transactions_component/855376?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/855376?hide_header=true&show_rentals=true,2
244 E 60TH ST Manhattan,,http://streeteasy.com/building/244-east-60-street-manhattan,Owned by: 244 E 60 ST OWNRS COR,"11 previous sales ($733 per ft² avg, $530,263 avg price)",,/nyc/property_activity/past_transactions_component/855085?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/855085?hide_header=true&show_rentals=true,0
248 E 60TH ST Manhattan,,http://streeteasy.com/building/250-east-60-street-new_york,Owned by: 250 EAST 60 ST CO LP,,,/nyc/property_activity/past_transactions_component/855084?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/855084?hide_header=true&show_rentals=true,0
249 E 60TH ST Manhattan,,http://streeteasy.com/building/1143-2-avenue-manhattan,,,,/nyc/property_activity/past_transactions_component/8297590?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/8297590?hide_header=true&show_rentals=true,0
250 E 60TH ST Manhattan,,http://streeteasy.com/building/250-east-60-street-new_york,Owned by: 250 EAST 60 ST CO LP,,,/nyc/property_activity/past_transactions_component/855084?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/855084?hide_header=true&show_rentals=true,0
26 E 60TH ST Manhattan,,http://streeteasy.com/building/26-east-60-street-manhattan,Owned by: FORTUSA REALTY CORP,,,/nyc/property_activity/past_transactions_component/1084395?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/1084395?hide_header=true&show_rentals=true,0
27 E 60TH ST Manhattan,,http://streeteasy.com/search?utf8=%E2%9C%93&search=27%20E%2060TH%20ST%20Manhattan,,,,,,0
28 E 60TH ST Manhattan,,http://streeteasy.com/building/28-east-60-street-manhattan,Owned by: FORTUSA REALTY CORP,,,/nyc/property_activity/past_transactions_component/851498?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/851498?hide_header=true&show_rentals=true,0
29 E 60TH ST Manhattan,,http://streeteasy.com/building/655-madison-avenue-new_york,Owned by: PLAZA MADISON LLC,,,/nyc/property_activity/past_transactions_component/851700?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/851700?hide_header=true&show_rentals=true,0
30 E 60TH ST Manhattan,,http://streeteasy.com/building/28-east-60-street-manhattan,Owned by: FORTUSA REALTY CORP,,,/nyc/property_activity/past_transactions_component/851498?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/851498?hide_header=true&show_rentals=true,0
31 E 60TH ST Manhattan,,http://streeteasy.com/building/655-madison-avenue-new_york,Owned by: PLAZA MADISON LLC,,,/nyc/property_activity/past_transactions_component/851700?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/851700?hide_header=true&show_rentals=true,0
32 E 60TH ST Manhattan,,http://streeteasy.com/building/28-east-60-street-manhattan,Owned by: FORTUSA REALTY CORP,,,/nyc/property_activity/past_transactions_component/851498?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/851498?hide_header=true&show_rentals=true,0
33 E 60TH ST Manhattan,,http://streeteasy.com/building/33-east-60-street-new_york,,,,/nyc/property_activity/past_transactions_component/8297311?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/8297311?hide_header=true&show_rentals=true,0
34 E 60TH ST Manhattan,,http://streeteasy.com/building/28-east-60-street-manhattan,Owned by: FORTUSA REALTY CORP,,,/nyc/property_activity/past_transactions_component/851498?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/851498?hide_header=true&show_rentals=true,0
35 E 60TH ST Manhattan,,http://streeteasy.com/building/35-east-60-street-manhattan,Owned by: 33-39 EAST 60TH STREE,,,/nyc/property_activity/past_transactions_component/851701?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/851701?hide_header=true&show_rentals=true,0
36 E 60TH ST Manhattan,,http://streeteasy.com/building/36-east-60-street-manhattan,Owned by: FORTUSA REALTY CORP,,,/nyc/property_activity/past_transactions_component/1086576?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/1086576?hide_header=true&show_rentals=true,0
