OriginalAddress,ChosenAddress,Url,Owner,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl
223 E 34TH ST,223 Garage East 34th Street,http://streeteasy.com/building/223-garage-east-34-street-brooklyn,,0,,,0,,,0,,,0,,
224 E 34TH ST,224 East 34th Street,http://streeteasy.com/building/224-east-34-street-brooklyn,Owned by: CHERYL ALVES,0,,,0,,,0,,,0,,
225 E 34TH ST,,http://streeteasy.com/building/the-charleston,,2748000,"#19E - 225 East 34th Street

Open House: Sun, May 7 (11:00 AM - 12:00 PM)   ADD TO PLANNER $2,748,000  6 rooms, 2 beds 2 baths, 1 half bath 1,466 ft²",http://streeteasy.com/building/the-charleston/sale/1253015,2645000,"#20H - 225 East 34th Street
$2,645,000  IN CONTRACT 6 rooms, 3 beds 3 baths 1,761 ft²",http://streeteasy.com/building/the-charleston/20h,2250000,"#21E - 225 East 34th Street

Open House: Sun, May 7 (11:00 AM - 12:00 PM)   ADD TO PLANNER $2,250,000   4 rooms, 2 beds 2 baths, 1 half bath 1,479 ft²",http://streeteasy.com/building/the-charleston/21e,1799000,"#8I - 225 East 34th Street

Open House: Sun, May 7 (12:00 PM - 1:00 PM)   ADD TO PLANNER $1,799,000  8 rooms, 2 beds 2 baths 1,345 ft²",http://streeteasy.com/building/the-charleston/8i
226 E 34TH ST,226 East 34th Street,http://streeteasy.com/building/226-east-34-street-brooklyn,"Owned by: CHARLES, GODWIN",0,,,0,,,0,,,0,,
227 E 34TH ST,227 East 34th Street,http://streeteasy.com/building/227-east-34-street-brooklyn,Owned by: DELORES ROBINSON,0,,,0,,,0,,,0,,
228 E 34TH ST,228 East 34th Street,http://streeteasy.com/building/228-east-34-street-brooklyn,"Owned by: MONROE-MAYO, ANGELINE",0,,,0,,,0,,,0,,
229 E 34TH ST,,http://streeteasy.com/building/the-charleston,,2748000,"#19E - 225 East 34th Street

Open House: Sun, May 7 (11:00 AM - 12:00 PM)   ADD TO PLANNER $2,748,000  6 rooms, 2 beds 2 baths, 1 half bath 1,466 ft²",http://streeteasy.com/building/the-charleston/sale/1253015,2645000,"#20H - 225 East 34th Street
$2,645,000  IN CONTRACT 6 rooms, 3 beds 3 baths 1,761 ft²",http://streeteasy.com/building/the-charleston/20h,2250000,"#21E - 225 East 34th Street

Open House: Sun, May 7 (11:00 AM - 12:00 PM)   ADD TO PLANNER $2,250,000   4 rooms, 2 beds 2 baths, 1 half bath 1,479 ft²",http://streeteasy.com/building/the-charleston/21e,1799000,"#8I - 225 East 34th Street

Open House: Sun, May 7 (12:00 PM - 1:00 PM)   ADD TO PLANNER $1,799,000  8 rooms, 2 beds 2 baths 1,345 ft²",http://streeteasy.com/building/the-charleston/8i
230 E 34TH ST,230 East 34th Street,http://streeteasy.com/building/230-east-34-street-brooklyn,"Owned by: SINGH, BISAUL",0,,,0,,,0,,,0,,
231 E 34TH ST,231 East 34th Street,http://streeteasy.com/building/231-east-34-street-manhattan,Owned by: FRANK FARINA,2268,"#3B - 231 East 34th Street
$2,268   studio 1 bath",http://streeteasy.com/building/231-east-34-street-manhattan/3b,2037,"#4D - 231 East 34th Street
$2,037  studio 1 bath",http://streeteasy.com/building/231-east-34-street-manhattan/4d,0,,,0,,
245 E 34TH ST,,http://streeteasy.com/building/245-east-34th-street-new_york,Owned by: 623 SECOND ASSOCIATES,0,,,0,,,0,,,0,,
